relig,cappun,age,educ
protestant,,38.0,12.0
protestant,,30.0,9.0
protestant,,56.0,10.0
catholic,,20.0,12.0
protestant,,19.0,12.0
catholic,,50.0,9.0
catholic,,38.0,14.0
protestant,,64.0,12.0
protestant,,74.0,11.0
protestant,,75.0,12.0
none,,22.0,11.0
protestant,,75.0,8.0
none,,23.0,16.0
protestant,,79.0,12.0
protestant,,60.0,7.0
protestant,,26.0,15.0
catholic,,63.0,12.0
protestant,,63.0,9.0
protestant,,34.0,12.0
none,,33.0,9.0
protestant,,53.0,12.0
catholic,,78.0,15.0
protestant,,22.0,11.0
protestant,,32.0,10.0
protestant,,27.0,13.0
protestant,,35.0,15.0
protestant,,39.0,12.0
protestant,,24.0,14.0
protestant,,22.0,12.0
protestant,,28.0,12.0
protestant,,57.0,13.0
protestant,,48.0,14.0
protestant,,26.0,12.0
catholic,,50.0,8.0
catholic,,32.0,12.0
catholic,,56.0,8.0
catholic,,26.0,12.0
catholic,,30.0,12.0
catholic,,83.0,4.0
catholic,,26.0,12.0
catholic,,20.0,9.0
protestant,,41.0,12.0
none,,56.0,7.0
none,,83.0,6.0
protestant,,27.0,5.0
protestant,,21.0,5.0
protestant,,19.0,12.0
protestant,,41.0,12.0
protestant,,35.0,12.0
protestant,,57.0,9.0
protestant,,42.0,12.0
protestant,,54.0,10.0
catholic,,24.0,12.0
protestant,,62.0,8.0
protestant,,39.0,8.0
protestant,,24.0,11.0
protestant,,66.0,12.0
protestant,,55.0,11.0
protestant,,25.0,12.0
protestant,,61.0,12.0
protestant,,62.0,11.0
jewish,,29.0,19.0
catholic,,27.0,16.0
catholic,,44.0,12.0
catholic,,44.0,12.0
protestant,,34.0,12.0
protestant,,23.0,11.0
protestant,,58.0,12.0
protestant,,24.0,16.0
protestant,,34.0,11.0
protestant,,42.0,12.0
protestant,,32.0,12.0
catholic,,52.0,7.0
protestant,,22.0,12.0
protestant,,35.0,10.0
catholic,,45.0,14.0
protestant,,30.0,10.0
protestant,,35.0,9.0
protestant,,36.0,8.0
protestant,,57.0,8.0
protestant,,28.0,17.0
catholic,,42.0,16.0
protestant,,23.0,12.0
protestant,,53.0,15.0
protestant,,22.0,12.0
catholic,,60.0,12.0
catholic,,56.0,12.0
protestant,,24.0,15.0
protestant,,26.0,12.0
protestant,,55.0,13.0
none,,20.0,13.0
catholic,,30.0,12.0
catholic,,26.0,14.0
protestant,,36.0,12.0
protestant,,42.0,11.0
protestant,,28.0,16.0
protestant,,54.0,12.0
protestant,,49.0,12.0
protestant,,30.0,12.0
protestant,,40.0,16.0
protestant,,55.0,12.0
protestant,,74.0,6.0
protestant,,48.0,8.0
protestant,,63.0,12.0
protestant,,72.0,10.0
protestant,,30.0,11.0
protestant,,78.0,8.0
protestant,,44.0,8.0
catholic,,48.0,13.0
catholic,,29.0,12.0
catholic,,21.0,13.0
protestant,,20.0,13.0
catholic,,52.0,12.0
protestant,,40.0,14.0
jewish,,42.0,16.0
catholic,,54.0,14.0
catholic,,43.0,12.0
catholic,,25.0,12.0
catholic,,28.0,12.0
catholic,,43.0,12.0
catholic,,45.0,10.0
catholic,,48.0,13.0
catholic,,36.0,14.0
catholic,,28.0,14.0
catholic,,27.0,12.0
catholic,,52.0,8.0
catholic,,20.0,12.0
protestant,,28.0,12.0
catholic,,38.0,10.0
protestant,,48.0,14.0
catholic,,47.0,7.0
protestant,,59.0,12.0
protestant,,26.0,12.0
protestant,,63.0,13.0
protestant,,80.0,9.0
protestant,,68.0,13.0
protestant,,49.0,7.0
protestant,,21.0,13.0
